Date,CategoricalFeature1,CategoricalFeature2,Activity1,Activity2,Target,Activity3,Activity4,Activity5,Activity6,Activity7,Activity8,Activity9,Activity10,Activity11,Activity12,Activity13,Activity14,Activity15,Activity16
1/4/2015,Cat_3,Cat_1,NA,993,low,757,640,NA,NA,32,NA,267,679,1314,2066,882,NA,557,NA
1/4/2015,Cat_1,Cat_10,NA,297,low,541,242,NA,NA,131,NA,84,275,593,697,419,NA,289,NA
1/4/2015,Cat_3,Cat_10,NA,61,low,57,45,NA,NA,56,NA,43,63,60,90,58,NA,27,NA
1/4/2015,Cat_1,Cat_11,NA,29,low,43,29,NA,NA,28,NA,NA,29,33,29,28,NA,27,NA
1/4/2015,Cat_1,Cat_2,NA,50394,low,24791,38990,NA,NA,591,NA,10443,40990,139340,164740,68747,NA,38609,NA
1/4/2015,Cat_3,Cat_2,NA,16589,low,6370,11314,NA,NA,116,NA,2702,12030,39223,46870,22904,NA,12169,NA
1/4/2015,Cat_1,Cat_3,NA,916,low,763,1135,NA,NA,66,NA,375,423,1419,1878,1084,NA,472,NA
1/4/2015,Cat_3,Cat_3,NA,270,low,268,336,NA,NA,47,NA,60,178,613,676,449,NA,105,NA
1/4/2015,Cat_1,Cat_4,NA,10649,low,8422,7082,NA,NA,228,NA,2056,6199,14145,16726,7877,NA,8880,NA
1/4/2015,Cat_3,Cat_4,NA,1631,low,1761,1038,NA,NA,41,NA,312,810,1626,2428,1222,NA,921,NA
1/4/2015,Cat_1,Cat_5,NA,60584,high,23992,47221,NA,NA,477,NA,14543,44028,101221,146743,75635,NA,41530,NA
1/4/2015,Cat_3,Cat_5,NA,22483,low,8024,16834,NA,NA,209,NA,3552,14640,36286,51322,24718,NA,13946,NA
1/4/2015,Cat_1,Cat_6,NA,32,low,33,NA,NA,NA,27,NA,NA,NA,30,30,NA,NA,32,NA
1/4/2015,Cat_4,Cat_6,NA,16716,high,116162,104249,NA,NA,10681,NA,69502,63780,266337,369938,142535,NA,82877,NA
1/4/2015,Cat_1,Cat_7,NA,8105,low,11262,7840,NA,NA,1678,NA,1555,4246,9547,13880,6692,NA,4752,NA
1/4/2015,Cat_3,Cat_7,NA,1925,low,1560,1733,NA,NA,635,NA,384,1219,2100,2606,1271,NA,1406,NA
1/4/2015,Cat_1,Cat_8,NA,121193,high,38931,80380,NA,NA,991,NA,20785,88507,224936,252355,120096,NA,147945,NA
1/4/2015,Cat_3,Cat_8,NA,49147,low,14892,31420,NA,NA,255,NA,5661,31750,78602,96557,44095,NA,52857,NA
1/4/2015,Cat_1,Cat_9,NA,6735,low,5174,5900,NA,NA,84,NA,1586,4616,10883,17179,7717,NA,7141,NA
1/4/2015,Cat_3,Cat_9,NA,5349,low,1403,8848,NA,NA,47,NA,2057,3986,6038,10960,5222,NA,3670,NA
1/5/2015,Cat_1,Cat_1,NA,5918,low,8295,5105,NA,NA,63,NA,1673,3740,10216,10815,5950,NA,3485,NA
1/5/2015,Cat_3,Cat_1,NA,810,low,1026,842,NA,NA,33,NA,214,299,1146,1464,839,NA,317,NA
1/5/2015,Cat_1,Cat_10,NA,361,low,644,242,NA,NA,131,NA,110,254,500,780,378,NA,167,NA
1/5/2015,Cat_3,Cat_10,NA,84,low,68,32,NA,NA,33,NA,46,82,54,55,54,NA,54,NA
1/5/2015,Cat_1,Cat_11,NA,30,low,31,28,NA,NA,28,NA,NA,27,31,28,29,NA,30,NA
1/5/2015,Cat_1,Cat_2,NA,52375,high,31913,40497,NA,NA,597,NA,18523,39558,138360,153076,70897,NA,35924,NA
1/5/2015,Cat_3,Cat_2,NA,9676,low,5029,6895,NA,NA,82,NA,2257,7326,20696,28155,12580,NA,6814,NA
1/5/2015,Cat_1,Cat_3,NA,2152,low,4714,1807,NA,NA,31,NA,661,840,2673,3377,2216,NA,1056,NA
1/5/2015,Cat_3,Cat_3,NA,375,low,670,434,NA,NA,40,NA,99,199,485,514,361,NA,168,NA
1/5/2015,Cat_1,Cat_4,NA,11067,low,13976,8032,NA,NA,212,NA,3388,5679,11438,14889,8276,NA,8777,NA
1/5/2015,Cat_3,Cat_4,NA,984,low,1728,932,NA,NA,41,NA,252,508,1570,2035,1157,NA,461,NA
1/5/2015,Cat_1,Cat_5,NA,60446,high,37535,41297,NA,NA,207,NA,18556,44787,103305,130345,72226,NA,48509,NA
1/5/2015,Cat_3,Cat_5,NA,11438,low,5881,8486,NA,NA,67,NA,2038,8033,22082,25949,14536,NA,8703,NA
1/5/2015,Cat_1,Cat_6,NA,28,low,28,NA,NA,NA,43,NA,NA,NA,29,28,NA,NA,30,NA
1/5/2015,Cat_4,Cat_6,NA,14779,high,84479,64282,NA,NA,8416,NA,52668,47152,164268,207995,78256,NA,60576,NA
1/5/2015,Cat_1,Cat_7,NA,9566,low,12226,7724,NA,NA,544,NA,1538,5444,10458,12732,6384,NA,4447,NA
1/5/2015,Cat_3,Cat_7,NA,1092,low,969,820,NA,NA,139,NA,221,555,1171,1294,681,NA,548,NA
1/5/2015,Cat_1,Cat_8,NA,138294,high,58418,71088,NA,NA,853,NA,29259,97051,225643,311131,133591,NA,143345,NA
1/5/2015,Cat_3,Cat_8,NA,23491,low,10778,15275,NA,NA,250,NA,3701,18587,39712,45126,23560,NA,26059,NA
1/5/2015,Cat_1,Cat_9,NA,5254,low,7445,4264,NA,NA,81,NA,1423,4314,9489,10674,4993,NA,4908,NA
1/5/2015,Cat_3,Cat_9,NA,3122,low,1265,4600,NA,NA,73,NA,1837,3424,4242,7584,2735,NA,2385,NA
1/6/2015,Cat_1,Cat_1,NA,7524,low,8208,5495,NA,NA,2280,NA,1893,3196,9486,10324,5517,NA,3119,NA
1/6/2015,Cat_3,Cat_1,NA,845,low,1316,934,NA,NA,327,NA,338,495,1346,1342,799,NA,410,NA
1/6/2015,Cat_1,Cat_10,NA,404,low,581,277,NA,NA,899,NA,111,131,574,630,335,NA,308,NA
1/6/2015,Cat_3,Cat_10,NA,43,low,58,66,NA,NA,201,NA,42,60,63,85,30,NA,30,NA
1/6/2015,Cat_1,Cat_11,NA,42,low,29,27,NA,NA,29,NA,NA,27,33,33,29,NA,41,NA
1/6/2015,Cat_1,Cat_2,NA,57639,high,34163,39696,NA,NA,8790,NA,16650,36294,147027,164432,83630,NA,35716,NA
1/6/2015,Cat_3,Cat_2,NA,9700,low,5546,6838,NA,NA,1164,NA,2066,6008,20473,25783,14386,NA,6397,NA
1/6/2015,Cat_1,Cat_3,NA,2542,low,3181,2577,NA,NA,516,NA,962,1214,3467,4251,2182,NA,1454,NA
1/6/2015,Cat_3,Cat_3,NA,430,low,628,456,NA,NA,60,NA,170,425,529,696,455,NA,313,NA
1/6/2015,Cat_1,Cat_4,NA,11068,low,16680,8450,NA,NA,3256,NA,3294,7138,14043,16116,8781,NA,8018,NA
1/6/2015,Cat_3,Cat_4,NA,1090,low,1996,931,NA,NA,419,NA,212,558,1179,1686,825,NA,532,NA
1/6/2015,Cat_1,Cat_5,NA,73782,high,34711,47892,NA,NA,6629,NA,16310,41506,124020,124851,74737,NA,51163,NA
1/6/2015,Cat_3,Cat_5,NA,12121,low,6481,8246,NA,NA,1305,NA,2844,8565,22845,27607,14100,NA,7607,NA
1/6/2015,Cat_1,Cat_6,NA,30,low,40,NA,NA,NA,29,NA,NA,NA,33,32,NA,NA,31,NA
1/6/2015,Cat_4,Cat_6,NA,13431,high,84593,65763,NA,NA,10950,NA,47051,41934,131704,220771,62048,NA,58912,NA
1/6/2015,Cat_1,Cat_7,NA,10156,low,16217,9356,NA,NA,3963,NA,2465,4331,13009,15707,7974,NA,5133,NA
1/6/2015,Cat_3,Cat_7,NA,1239,low,1360,1065,NA,NA,456,NA,247,539,1487,1693,924,NA,753,NA
1/6/2015,Cat_1,Cat_8,NA,124901,high,56251,79464,NA,NA,10074,NA,32503,91119,252378,272297,129622,NA,153021,NA
1/6/2015,Cat_3,Cat_8,NA,20020,low,11397,15474,NA,NA,1563,NA,4017,16228,40072,48226,27089,NA,24798,NA
1/6/2015,Cat_1,Cat_9,NA,5602,low,7602,4844,NA,NA,1114,NA,1449,4283,10240,11259,5648,NA,5509,NA
1/6/2015,Cat_3,Cat_9,NA,2509,low,885,4169,NA,NA,206,NA,1456,2104,3776,6241,2662,NA,1901,NA
1/7/2015,Cat_1,Cat_1,NA,7537,low,9820,6817,NA,NA,3010,NA,1707,3539,9441,9648,5964,NA,3609,NA
1/7/2015,Cat_3,Cat_1,NA,815,low,1325,846,NA,NA,477,NA,235,579,1088,1396,783,NA,443,NA
1/7/2015,Cat_1,Cat_10,NA,569,low,423,628,NA,NA,1848,NA,173,315,688,1022,438,NA,205,NA
1/7/2015,Cat_3,Cat_10,NA,56,low,85,69,NA,NA,604,NA,28,79,69,83,65,NA,44,NA
1/7/2015,Cat_1,Cat_11,NA,32,low,28,32,NA,NA,32,NA,NA,30,29,27,32,NA,32,NA
1/7/2015,Cat_1,Cat_2,NA,49329,high,33193,41017,NA,NA,9691,NA,16806,39296,133259,162280,75216,NA,33276,NA
1/7/2015,Cat_3,Cat_2,NA,7578,low,3907,6384,NA,NA,1996,NA,2056,6696,18081,23197,13636,NA,5528,NA
1/7/2015,Cat_1,Cat_3,NA,3341,low,5100,2744,NA,NA,580,NA,3161,908,2796,3619,1875,NA,1233,NA
1/7/2015,Cat_3,Cat_3,NA,759,low,1010,721,NA,NA,98,NA,430,166,629,663,484,NA,198,NA
1/7/2015,Cat_1,Cat_4,NA,11149,low,15264,7929,NA,NA,2532,NA,7207,7148,13696,17394,9066,NA,8777,NA
1/7/2015,Cat_3,Cat_4,NA,711,low,1784,724,NA,NA,211,NA,769,527,1154,1322,719,NA,429,NA
1/7/2015,Cat_1,Cat_5,NA,68993,high,30914,47711,NA,NA,8076,NA,18482,39828,118064,139968,70730,NA,52534,NA
1/7/2015,Cat_3,Cat_5,NA,11896,low,5064,9057,NA,NA,1569,NA,2420,7815,20997,22743,14201,NA,7820,NA
1/7/2015,Cat_1,Cat_6,NA,30,low,30,NA,NA,NA,31,NA,NA,NA,32,30,NA,NA,30,NA
1/7/2015,Cat_4,Cat_6,NA,12653,high,77339,57952,NA,NA,18450,NA,54156,46609,138127,211950,76845,NA,59868,NA
1/7/2015,Cat_1,Cat_7,NA,11239,low,15357,10220,NA,NA,4285,NA,3203,5381,12985,15233,7438,NA,4819,NA
1/7/2015,Cat_3,Cat_7,NA,933,low,1374,1091,NA,NA,607,NA,159,446,1090,1333,913,NA,637,NA
1/7/2015,Cat_1,Cat_8,NA,129494,high,52791,77628,NA,NA,10551,NA,26785,85399,232335,260491,138488,NA,133016,NA
1/7/2015,Cat_3,Cat_8,NA,19964,low,7796,13150,NA,NA,1830,NA,3525,17213,39911,51895,24125,NA,21476,NA
1/7/2015,Cat_1,Cat_9,NA,4857,low,5186,4877,NA,NA,948,NA,1492,4166,9134,11332,5533,NA,5776,NA
1/7/2015,Cat_3,Cat_9,NA,2697,low,953,4467,NA,NA,291,NA,1693,2172,3512,5678,2821,NA,2145,NA
1/8/2015,Cat_1,Cat_1,NA,5294,low,6309,4635,NA,NA,2641,NA,2206,3411,8100,10515,5036,NA,2777,NA
1/8/2015,Cat_3,Cat_1,NA,689,low,1047,830,NA,NA,206,NA,235,559,1019,1306,621,NA,374,NA
1/8/2015,Cat_1,Cat_10,NA,374,low,303,405,NA,NA,704,NA,183,486,736,767,359,NA,232,NA
1/8/2015,Cat_3,Cat_10,NA,58,low,56,71,NA,NA,225,NA,41,77,42,58,48,NA,62,NA
1/8/2015,Cat_1,Cat_11,NA,29,low,48,30,NA,NA,30,NA,NA,30,45,40,29,NA,31,NA
